dataset,dataset_label,seed,eta_g,theta,k,T,adaptive_variance_threshold,status,error,rmse_to_clean,mean_l2_to_clean,mean_distance_to_clean_cloud_approx,q90_distance_to_clean_cloud_approx,mean_local_dim,normal_energy_ratio_mean,normal_energy_ratio_median,normal_energy_ratio_q90,velocity_tangent_alignment_mean,velocity_tangent_alignment_median,velocity_tangent_alignment_q10,velocity_tangent_alignment_zero_velocity_fraction,velocity_neighbor_direction_agreement_mean,velocity_neighbor_direction_agreement_median,velocity_neighbor_direction_agreement_q10,velocity_neighbor_direction_agreement_zero_velocity_fraction,velocity_smoothness_mean,velocity_smoothness_median,velocity_smoothness_zero_velocity_fraction,displacement_mean,displacement_median,displacement_q90,displacement_relative_to_local_scale_mean,displacement_relative_to_local_scale_q90,knn_overlap_mean,knn_overlap_median,knn_overlap_q10
swiss_roll,Swiss roll velocity flow,43,0.2,0.05,15,3,0.8,ok,,0.824589633225009,0.8159100016118594,0.7570831085937941,0.9119762508129021,4.0,0.5466086507762,0.550538296235944,0.5906445386764927,0.758013614384646,0.8129272900284175,0.4731458411187124,0.0,0.6308402018648839,0.6601931817738618,0.42545454398646154,0.0,0.2882470210657392,0.27978839542876066,0.0,0.4111237727848577,0.40989846198481406,0.5202927477740524,0.24426288252571676,0.3091239542477671,0.8311999999999999,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.05,15,3,0.9,ok,,0.824589633225009,0.8159100016118594,0.7570831085937941,0.9119762508129021,4.0,0.5466086507762,0.550538296235944,0.5906445386764927,0.758013614384646,0.8129272900284175,0.4731458411187124,0.0,0.6308402018648839,0.6601931817738618,0.42545454398646154,0.0,0.2882470210657392,0.27978839542876066,0.0,0.4111237727848577,0.40989846198481406,0.5202927477740524,0.24426288252571676,0.3091239542477671,0.8311999999999999,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.05,25,3,0.8,ok,,0.8031682992775531,0.7947289743889648,0.7352163284048142,0.8763162414457397,4.0,0.5351822140725149,0.5348288573321274,0.5775588401168784,0.8072445764811031,0.8614822528481167,0.5878377603907932,0.0,0.6436970961267509,0.6557673041880367,0.4323675124750044,0.0,0.3362081373084592,0.3565589113829214,0.0,0.42906013763994366,0.42494825151651944,0.5466175123880224,0.25491949854151924,0.3247644092933677,0.8367999999999999,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.05,25,3,0.9,ok,,0.8031682992775531,0.7947289743889648,0.7352163284048142,0.8763162414457397,4.0,0.5351822140725149,0.5348288573321274,0.5775588401168784,0.8072445764811031,0.8614822528481167,0.5878377603907932,0.0,0.6436970961267509,0.6557673041880367,0.4323675124750044,0.0,0.3362081373084592,0.3565589113829214,0.0,0.42906013763994366,0.42494825151651944,0.5466175123880224,0.25491949854151924,0.3247644092933677,0.8367999999999999,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.15,15,3,0.8,ok,,0.8140665628634493,0.8060088676640607,0.746770399396322,0.8825225736578051,4.0,0.5450442264610718,0.5459919986262862,0.5919270641252824,0.7703129748262485,0.8249691109879218,0.5626894768509193,0.0,0.6608913123604598,0.6928603641468369,0.46323740579079803,0.0,0.30622162747174747,0.3063920112465126,0.0,0.41753791545291513,0.41909595267959626,0.5322661463279169,0.2480737469921965,0.3162377653139218,0.8364,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.15,15,3,0.9,ok,,0.8140665628634493,0.8060088676640607,0.746770399396322,0.8825225736578051,4.0,0.5450442264610718,0.5459919986262862,0.5919270641252824,0.7703129748262485,0.8249691109879218,0.5626894768509193,0.0,0.6608913123604598,0.6928603641468369,0.46323740579079803,0.0,0.30622162747174747,0.3063920112465126,0.0,0.41753791545291513,0.41909595267959626,0.5322661463279169,0.2480737469921965,0.3162377653139218,0.8364,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.15,25,3,0.8,ok,,0.7988827051499375,0.7901622514958219,0.7296031914789575,0.8777299827651937,4.0,0.5309350670030996,0.5281615957827552,0.5809348686070509,0.806036439424415,0.8768407042705939,0.5254137543153503,0.0,0.65856404705252,0.6639008030703772,0.49459319751021563,0.0,0.347776780284699,0.3666520480687686,0.0,0.43521764872799745,0.4313899798077493,0.5558732924347438,0.25857788929174025,0.3302635890146516,0.8351999999999998,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.15,25,3,0.9,ok,,0.7988827051499375,0.7901622514958219,0.7296031914789575,0.8777299827651937,4.0,0.5309350670030996,0.5281615957827552,0.5809348686070509,0.806036439424415,0.8768407042705939,0.5254137543153503,0.0,0.65856404705252,0.6639008030703772,0.49459319751021563,0.0,0.347776780284699,0.3666520480687686,0.0,0.43521764872799745,0.4313899798077493,0.5558732924347438,0.25857788929174025,0.3302635890146516,0.8351999999999998,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.3,15,3,0.8,ok,,0.8098656644911401,0.8019615327042345,0.7430482979510458,0.8685077984448729,4.0,0.5433369499567428,0.5475985177389453,0.5882111317976455,0.7834750513591683,0.8293102190996815,0.5701082390675266,0.0,0.6587626287695864,0.6845060724432845,0.44499880450481016,0.0,0.30315939777253376,0.31089740419628603,0.0,0.42289587746597157,0.42242882272458543,0.5265359377301779,0.25125709792543804,0.3128332497830483,0.836,0.84,0.76
swiss_roll,Swiss roll velocity flow,43,0.2,0.3,15,3,0.9,ok,,0.8098656644911401,0.8019615327042345,0.7430482979510458,0.8685077984448729,4.0,0.5433369499567428,0.5475985177389453,0.5882111317976455,0.7834750513591683,0.8293102190996815,0.5701082390675266,0.0,0.6587626287695864,0.6845060724432845,0.44499880450481016,0.0,0.30315939777253376,0.31089740419628603,0.0,0.42289587746597157,0.42242882272458543,0.5265359377301779,0.25125709792543804,0.3128332497830483,0.836,0.84,0.76
